,JobTitle,Require
0,"Backend Developer (.NET, C#, MySQL)",".NET,MySQL,C#"
1,Backend Developer (Ruby/Python/Golang),"Ruby,Python,Golang"
2,"Senior Backend Developer (PHP, Laravel, MySQL)","PHP,MySQL,Laravel"
3,Blockchain Backend Engineer (Node/Go/Rust/Python),"NodeJS,Python,Golang"
4,"NodeJS Backend Developer (Middle,Senior)","NodeJS,SQL,NoSQL"
5,Junior Backend Developer (Ruby on Rails),"Ruby on Rails,PostgreSql,Ruby"
6,Intermediate Backend Developer (Remote) - Ruby on Rails,"Ruby on Rails,NodeJS,PHP"
7,Backend Developer (Golang/.NET) Upto $2000,"Golang,C#,Database"
8,Middle/Senior Backend Developer (Java Developer),"Java,Agile,Spring"
9,Senior Backend Developer (NodeJS),"NodeJS,JavaScript,PHP"
10,Senior/Mid NodeJS Developer (Backend Developer),"NodeJS,JavaScript,TypeScript"
11,"Backend (NodeJS, MySQL, MongoDB)","NodeJS,MySQL"
12,"Java, Dot Net Backend Developer",".NET,Java,ASP.NET"
13,"Backend Developer (NodeJS, MySQL)","NodeJS,MySQL,AWS"
14,Back-end Developer (PHP - Laravel - SlimPHP),"PHP,MySQL,Laravel"
15,"PHP Backend Developer (Laravel, CakePHP) Up to $2500","PHP,JavaScript,Laravel"
16,"Backend Engineer (Ruby, NodeJS, TypeScript)","Ruby,NodeJS,TypeScript"
17,"Backend Developer (C#, .NET) ~ 1500$",".NET,C#,ASP.NET"
18,"Java Backend Developer (ERP, Oracle) Up to $1800","Java,ERP,Spring"
19,"Backend Developer (NodeJS, MySQL, ReactJS)","NodeJS,MySQL,ReactJS"
20,Middle Back-end Developer (.NET),".NET,SQL,ASP.NET"
21,"Back-end Engineer (NodeJS, PHP, Golang)","NodeJS,Golang,PHP"
22,Golang Backend Developer - BNPL Project,"ReactJS,Golang,Flutter"
23,BackEnd Developer (NodeJS/ .NET/ PostgreSQL),"NodeJS,PostgreSql,.NET"
24,"Backend Developers (Java, Blockchain, MySQL)","Java,Blockchain,MySQL"
25,Golang Backend Dev - onsite Malaysia/Philippines,"Golang,Database,Java"
26,"Python Backend Developer (Django, Flask)","Python,Django,Fresher Accepted"
27,Backend Developer (Java/ Spring/ Python),"Java,Python,Spring,Fresher Accepted"
28,Backend Engineer (Python / Scala) - All levels,"Python,Scala,Golang"
29,3 Backend Developer (NodeJS),"NodeJS,NoSQL,Blockchain"
30,"Backend .NET Developer (NodeJS, DevOps)",".NET,DevOps,NodeJS"
31,Backend Developer (Java/Spring/MySQL) - All Level,"Java,Spring,MySQL,Fresher Accepted"
32,"Jr Backend Dev (NodeJS, Golang, English)","NodeJS,Golang,English,Fresher Accepted"
33,Backend Engineer (Golang/ NodeJS/ AWS/ US Startup,"AWS,Golang,NodeJS"
34,Java Backend Developer (Spring) ~ Up to 1800$,"Java,Spring,SQL,Fresher Accepted"
35,"Backend Developer (.NET, ASP.NET, NoSQL)",".NET,NoSQL,ASP.NET"
36,".NET Backend Developer (C#, ASP.NET) Up to $1500",".NET,ASP.NET,C#"
37,"Backend Engineer (Java, .Net, SAS)","Java,SAS,.NET"
38,Backend Developer (PHP/Magento/Laravel) ~ $2500,"PHP,Magento,Laravel"
39,Backend PHP Developer,"PHP,MySQL,Laravel"
40,Backend Developer (Java),"Java,Oracle,MySQL,Fresher Accepted"
41,"Back End Developer (MongoDB, NodeJS)","NodeJS,JavaScript"
42,"Backend Developer (.NET, ReactJS,ASP.NET)",".NET,ReactJS,ASP.NET"
43,"Backend Dev (PHP, NestJS, MySQL, AWS) - Up to $1700","PHP,MySQL,AWS"
44,Senior Backend Developer (Java) Up to $1700,"Java,.NET,JavaScript"
45,"Backend NodeJS (JavaScript, SQL)","NodeJS,JavaScript,SQL"
46,"Back end Dev (JavaScript, NodeJS)","JavaScript,NodeJS,Java,Fresher Accepted"
47,"Backend Developer (Golang, Python)","Golang,Django,Python"
48,Middle Back-end Java Engineer (Spring/ Java EE),"Java,Spring,J2EE"
49,"Backend Java Developer (Spring, SQL)","Java,Spring,SQL"
50,"Backend Developer (Java,NodeJS)","NodeJS,Java,HTML5"
51,"[All Level] NodeJS Backend (JavaScript, SQL) Upto $1000","NodeJS,SQL,JavaScript,Fresher Accepted"
52,"Backend Developer (NodeJS, MySQL, AWS)","NodeJS,AWS,MySQL,Fresher Accepted"
53,Backend Developer (Golang/.Net),"Golang,MySQL,.NET"
