,JobTitle,Require
0,Backend Developer (Java/ Spring/ Python),"Java,Python,Spring,Fresher Accepted"
1,3 Backend Developer (NodeJS),"NodeJS,Blockchain,NoSQL"
2,"Jr Backend Dev (NodeJS, Golang, English)","NodeJS,English,Golang,Fresher Accepted"
3,Java Backend Developer (Spring) ~ Up to 1800$,"Java,SQL,Spring,Fresher Accepted"
4,"Back end Dev (JavaScript, NodeJS)","JavaScript,NodeJS,Java,Fresher Accepted"
5,"[All Level] NodeJS Backend (JavaScript, SQL) Upto $1000","NodeJS,SQL,JavaScript,Fresher Accepted"
6,"Backend Developer (NodeJS, MySQL, AWS)","NodeJS,MySQL,AWS,Fresher Accepted"
7,"10 Software Architects (Python, C#, .NET, VueJS, RoR)","NodeJS,.NET,VueJS,Fresher Accepted"
8,"ZaloPay, Data Engineer (Data Platform)","Python,OOP,Scala"
9,Web Developer Fullstack (ReactJS/ PHP),"ReactJS,JavaScript,PHP"
10,"DevOps Engineer (Agile, AWS)","DevOps,Agile,AWS,Fresher Accepted"
11,"Software Engineer (Java, ReactJS)","Java,ReactJS,Golang"
12,Fullstack Developer (MySQL/Java/ReactJS) - All Level,"MySQL,Java,ReactJS"
13,QC Engineer/ Manual Tester (Junoir/Mid),"QA QC,Tester,Automation Test"
14,React Native Developer (iOS /Android) Up to $2000,"React Native,Android,iOS"
15,".NET Developer (C#, ASP.NET)",".NET,C#,ASP.NET"
16,Junior Software Engineer (Java/ .NET),".NET,Java,Spring"
