,JobTitle,Require
0,"Backend Developer (.NET, C#, MySQL)",".NET,MySQL,C#"
1,Backend Developer (Ruby/Python/Golang),"Ruby,Python,Golang"
2,[Remote/Hybrid] Senior Backend Dev (Python),"Python,MySQL,Django"
3,Tech Lead/Senior Backend Engineer (Java/Nodejs/Golang),"Java,MySQL,Golang"
4,"HCM - Senior Officer, Backend Engineer","Java,SQL,.NET"
5,"Sr Backend Engineer (NodeJS, TypeScript)","NodeJS,JavaScript,DevOps"
6,Remote Backend Engineer (Mid / Senior),"OOP,English,Cloud"
7,"Senior Backend Developer (PHP, Laravel, MySQL)","PHP,MySQL,Laravel"
8,Blockchain Backend Engineer (Node/Go/Rust/Python),"NodeJS,Python,Golang"
9,"NodeJS Backend Developer (Middle,Senior)","NodeJS,SQL,NoSQL"
10,Blockchain Backend Developer (Solidity & Nodejs),"Blockchain,NodeJS,Solidity"
11,Junior Backend Developer (Ruby on Rails),"Ruby on Rails,PostgreSql,Ruby"
12,Intermediate Backend Developer (Remote) - Ruby on Rails,"Ruby on Rails,NodeJS,PHP"
13,"Senior Backend Java Engineer (Spring Boot, Cloud)","Java,Spring,Cloud"
14,Backend Developer (Golang/.NET) Upto $2000,"Golang,C#,Database"
15,Middle/Senior Backend Developer (Java Developer),"Java,Agile,Spring"
16,Senior Backend Developer (NodeJS),"NodeJS,JavaScript,PHP"
17,Senior/Mid NodeJS Developer (Backend Developer),"NodeJS,JavaScript,TypeScript"
18,Backend Golang Team Leader (PHP/Java),"Golang,Java,PHP"
19,Senior Backend Developer (Golang/Java),"Golang,Software Architect"
20,"Java, Dot Net Backend Developer",".NET,ASP.NET,Java"
21,"Backend Developer (NodeJS, MySQL)","NodeJS,AWS,MySQL"
22,5 Middle/ Senior Backend (.NET/ ASP.NET/ ReactJS)~1500$,".NET,ReactJS,ASP.NET"
23,Back-end Developer (PHP - Laravel - SlimPHP),"PHP,Laravel,MySQL"
24,"Senior Backend Dev (.NET, Microservice, Scrum/Agile)",".NET,Scrum,Angular"
25,"Senior Golang Developer (Backend, AWS, MySQL)","Golang,AWS,MySQL"
26,[Da Nang] Middle/Senior Backend Engineer (Kotlin/Java),"Kotlin,PHP,Java"
27,"Senior Back End .NET Developer (C#, ASP.NET)",".NET,ASP.NET,C#"
28,"PHP Backend Developer (Laravel, CakePHP) Up to $2500","PHP,Laravel,JavaScript"
29,"Backend Developer ( OOP, Java, Springboot)","OOP,Spring,Java"
30,"Backend Engineer (Ruby, NodeJS, TypeScript)","Ruby,TypeScript,NodeJS"
31,"Backend Developer (C#, .NET) ~ 1500$",".NET,ASP.NET,C#"
32,"Java Backend Developer (ERP, Oracle) Up to $1800","Java,ERP,Spring"
33,"Backend Developer (NodeJS, MySQL, ReactJS)","NodeJS,ReactJS,MySQL"
34,Remote Sr Backend Engineer (Python/NodeJS),"Python,NodeJS,Django"
35,Senior Back End Developer - Finance Services Team,"Java,Spring,PostgreSql"
36,"Back-end Engineer (NodeJS, PHP, Golang)","NodeJS,Golang,PHP"
37,"Sr Backend Software Engineer (Remote, 2500~3000USD)","Python,English,Django"
38,"Lead Backend Dev (NodeJS, AWS, Scrum)","NodeJS,TypeScript,AWS"
39,Golang Backend Developer - BNPL Project,"ReactJS,Flutter,Golang"
40,BackEnd Developer (NodeJS/ .NET/ PostgreSQL),"NodeJS,.NET,PostgreSql"
41,"Senior Web Backend Developer (PHP, Ruby) Up to $1800","PHP,Ruby,Laravel"
42,Senior Backend Engineer (Java),"Java,MySQL,Spring"
43,"Backend Developers (Java, Blockchain, MySQL)","Java,Blockchain,MySQL"
44,Golang Backend Dev - onsite Malaysia/Philippines,"Golang,Database,Java"
45,"Python Backend Developer (Django, Flask)","Python,Django,Fresher Accepted"
46,Backend Developer (Java/ Spring/ Python),"Java,Python,Spring,Fresher Accepted"
47,"2 Backend Dev (Java, Spring, SQL) ~$2000","Java,Spring,SQL"
48,"Snr Backend Engineer – Hotels, Remote","Java,Ruby"
49,Backend Engineer (Python / Scala) - All levels,"Python,Scala,Golang"
50,3 Backend Developer (NodeJS),"NodeJS,NoSQL,Blockchain"
51,Backend Developer (NodeJS),"NodeJS,English,JavaScript"
52,"Backend Developer (NodeJS, JavaScript)","NodeJS,JavaScript,MySQL"
53,"Backend .NET Developer (NodeJS, DevOps)",".NET,DevOps,NodeJS"
54,Backend Developer (Java/Spring/MySQL) - All Level,"Java,Spring,MySQL,Fresher Accepted"
