,JobTitle,Require
0,"10 Frontend Developers (Web, iOS, Android, ReactNative)","React Native,Android,iOS,Fresher Accepted"
1,Junior Frontend Developer (ReactJS/TypeScript),"ReactJS,JavaScript,TypeScript"
2,Frontend Developer (Ionic/Angular),"Angular,CSS,JavaScript,Fresher Accepted"
3,"[All level] Frontend Developer (JavaScript, ReactJS)","JavaScript,ReactJS,TypeScript,Fresher Accepted"
4,Front-End Developer (ReactJS/ VueJS/ JavaScript),"VueJS,JavaScript,ReactJS"
5,"Front-End Developer (HTML, CSS, JS)","HTML5,CSS,JavaScript"
6,"10 Software Architects (Python, C#, .NET, VueJS, RoR)","NodeJS,.NET,VueJS,Fresher Accepted"
7,Web Developer Fullstack (ReactJS/ PHP),"ReactJS,JavaScript,PHP"
8,Backend Developer (Java/ Spring/ Python),"Java,Python,Spring,Fresher Accepted"
9,Fullstack Developer (MySQL/Java/ReactJS) - All Level,"MySQL,Java,ReactJS"
10,"Jr Backend Dev (NodeJS, Golang, English)","NodeJS,English,Golang,Fresher Accepted"
11,Senior Developer Leader,"C#,JavaScript,.NET"
12,"Backend Developer (NodeJS, MySQL, AWS)","NodeJS,MySQL,AWS,Fresher Accepted"
13,".NET Developer (C#, ASP.NET)",".NET,C#,ASP.NET"
