,JobTitle,Require
0,Frontend Dev (Angular/ReactJS) ~$2000,"ReactJS,JavaScript,Angular"
1,Frontend Tech Lead (X2),"HTML5,CSS,ReactJS"
2,ReactJS Frontend Dev (JavaScript) Upto $1500,"ReactJS,UI-UX,JavaScript"
3,"Senior Frontend Dev (Angular, JavaScript) - $2500 Net","Angular,JavaScript,ReactJS"
4,"10 Frontend Developers (Web, iOS, Android, ReactNative)","React Native,Android,iOS,Fresher Accepted"
5,Junior Frontend Developer (Remote) - React Native,"React Native,ReactJS,VueJS"
6,UI Frontend Engineer (HTML/CSS only),"HTML5,CSS,UI-UX"
7,"Frontend Engineer (JavaScript, HTML, CSS )","JavaScript,ReactJS,VueJS"
8,Front-end Software Engineer (Angular),"Angular,JavaScript,TypeScript"
9,"Frontend Developer (ReactJS, JavaScript)","ReactJS,HTML5,JavaScript"
10,Junior Frontend Developer (ReactJS/TypeScript),"ReactJS,JavaScript,TypeScript"
11,Senior Frontend Developer (Angular/JavaScript),"Angular,JavaScript,TypeScript"
12,Frontend Developer (Ionic/Angular),"Angular,CSS,JavaScript,Fresher Accepted"
13,"Front End Web Developer (Angular, Typescript, RxJS)","Angular,CSS,TypeScript"
14,"Frontend Developer (ReactJS, Javascript)","JavaScript,ReactJS,Fresher Accepted"
15,"Frontend Developer (Da Nang, HCMC)","ReactJS,HTML5,JavaScript"
16,"03 Frontend Developer (ReactJS, Typescript, HTML5)","ReactJS,HTML5,TypeScript"
17,Senior Frontend Engineer (ReactJS/JavaScript),"ReactJS,JavaScript,TypeScript"
18,"Frontend Developer (ReactJS, Angular)",".NET,ReactJS,Angular"
19,Frontend Engineer (JavaScript/ReactJS),"ReactJS,JavaScript"
20,"Front End Developer (JavaScript, .NET, HTML5)","JavaScript,HTML5,.NET"
21,"Frontend Developer (ReactJS, HTML5, NextJS)","ReactJS,HTML5,JavaScript"
22,"Frontend Engineer (VueJs, TypeScript)","VueJS,ReactJS,JavaScript"
23,"[All level] Frontend Developer (JavaScript, ReactJS)","JavaScript,TypeScript,ReactJS,Fresher Accepted"
24,Frontend Engineer (Angular),"AngularJS,Java"
25,"Front-End Web Developer (XML, HTML 5, CSS, JS)","UI-UX,CSS,HTML5"
26,Frontend Dev (ReactJS/Angular) - 13 THÁNG LƯƠNG,"ReactJS,Angular,JavaScript"
