,JobTitle,Require
0,Frontend Dev (Angular/ReactJS) ~$2000,"ReactJS,JavaScript,Angular"
1,Frontend Tech Lead (X2),"HTML5,CSS,ReactJS"
2,ReactJS Frontend Dev (JavaScript) Upto $1500,"ReactJS,UI-UX,JavaScript"
3,"Front End Dev(Javascript, HTML, CSS,ReactJS, Angular)","JavaScript,ReactJS,Angular"
4,Senior Frontend Developer (ReactJS),"ReactJS,HTML5,CSS"
5,"Senior Frontend Dev (Angular, JavaScript) - $2500 Net","Angular,JavaScript,ReactJS"
6,"10 Frontend Developers (Web, iOS, Android, ReactNative)","React Native,Android,iOS,Fresher Accepted"
7,Front-end Developer (Digital Division),"Kotlin,Swift"
8,UI Frontend Engineer (HTML/CSS only),"HTML5,CSS,UI-UX"
9,"Frontend Engineer (JavaScript, HTML, CSS )","JavaScript,ReactJS,VueJS"
10,"Frontend Developer (JavaScript, CSS, ReactJS)","JavaScript,Wordpress,ReactJS"
11,"Lead Frontend (TypeScript, VueJS)","VueJS,JavaScript,ReactJS"
12,Remote Sr Frontend (ReactJS),"ReactJS,JavaScript,NodeJS"
13,Sr. Frontend Dev - HTML5/CSS3/JavaScript,"JavaScript,HTML5,CSS"
14,"Senior Frontend Dev (React Native, ReactJS)","React Native,JavaScript,ReactJS"
15,Senior Frontend Engineer (ReactJS),"JavaScript,HTML5,ReactJS"
16,Senior Frontend Developer (Angular/JavaScript),"Angular,JavaScript,TypeScript"
17,Frontend Developer (Ionic/Angular),"Angular,CSS,JavaScript,Fresher Accepted"
18,Frontend Dev (ReactJS/Javascript/HTML5),"ReactJS,HTML5,JavaScript"
19,"Front End Web Developer (Angular, Typescript, RxJS)","Angular,CSS,TypeScript"
20,"Frontend Developer (Da Nang, HCMC)","ReactJS,JavaScript,HTML5"
21,"03 Frontend Developer (ReactJS, Typescript, HTML5)","ReactJS,HTML5,TypeScript"
22,Frontend Developer (Javascript/Angular/VueJS),"JavaScript,VueJS,Angular"
23,Senior Frontend Engineer (ReactJS/JavaScript),"ReactJS,TypeScript,JavaScript"
24,Front-End Developer,"ReactJS,JavaScript"
25,"Frontend Developer (ReactJS, Angular)",".NET,Angular,ReactJS"
26,"Frontend Engineer (VueJs, TypeScript)","VueJS,ReactJS,JavaScript"
