,JobTitle,Require,Link,Year,Rank
0,[Fresher] Lập trình viên Mobile Flutter/iOS/Android,"Swift,Android,iOS,Java,Mobile,Kotlin,Flutter,Dart",https://topdev.vn/viec-lam/fresher-lap-trinh-vien-mobile-flutter-ios-android-bkav-2029749,Không yêu cầu,Fresher
1,"[Junior/Senior] Lập trình viên Mobile Flutter/iOS/Android up to 30,000,000","Swift,Android,iOS,Java,Mobile,Kotlin,Flutter,Dart",https://topdev.vn/viec-lam/junior-senior-lap-trinh-vien-mobile-flutter-ios-android-up-to-30-000-000-bkav-2029748,06 tháng,"Junior,Senior"
2,Machine Learning with Computer Vision Developer (Python and C++),"C++,Python,Machine Learning,Tensorflow,PyTorch",https://topdev.vn/viec-lam/machine-learning-with-computer-vision-developer-python-and-c-ycomm-viet-nam-2029746,2 năm,Middle
3,IT Business Analyst,"UML,UI/UX,Business Analyst",https://topdev.vn/viec-lam/it-business-analyst-ycomm-viet-nam-2029745,2 năm,Middle
4,Security Engineer (Middle/Senior),"Vmware,OWASP,Ceh-V5,Security Engineer",https://topdev.vn/viec-lam/security-engineer-middle-senior-globaltech-2029779,2 năm,"Middle,Senior"
5,[Junior] System Admin (Linux),"Linux,System Admin,Web Service",https://topdev.vn/viec-lam/junior-system-admin-linux-cong-ty-co-phan-giai-phap-va-cong-nghe-vietnix-2029777,1 năm,Junior
6,.NET Developer (Junior/Fresher level),"ASP.NET,C#,.NET,Back-End,.NET Core",https://topdev.vn/viec-lam/net-developer-junior-fresher-level-5-nhat-nhat-2029776,Không yêu cầu,"Fresher,Junior"
7,.Net Developer,".NET,SQL Server,ASP.NET MVC,.NET Core",https://topdev.vn/viec-lam/net-developer-cong-ty-tnhh-9pmp-viet-nam-2029774,1 năm,Junior
8,DevOps Engineer,"DevOps,AWS,Cloud",https://topdev.vn/viec-lam/devops-engineer-cong-ty-cp-cong-nghe-giao-duc-truong-hoc-truc-tuyen-onschool-2029750,2 năm,Middle
9,Middle/Senior QC / Tester (Manual & Automation),"QC,Tester,Automation Tester,Manual Tester",https://topdev.vn/viec-lam/middle-senior-qc-tester-manual-automation-openlive-nft-2029851,2 năm,"Middle,Senior"
10,C++ Developer (Mid/Senior),"C++,JavaScript,Python,English - Good",https://topdev.vn/viec-lam/c-developer-mid-senior-laudert-vietnam-2029850,3 năm,"Middle,Senior"
11,"Mobile Developer (React Native, iOS, Android)","Android,iOS,Mobile,React Native,Flutter",https://topdev.vn/viec-lam/mobile-developer-react-native-ios-android-future-lang-2029785,2 năm,"Middle,Senior"
12,Chuyên viên tư vấn giải pháp CNTT,"Business Analyst,Technical Consultant,Operator",https://topdev.vn/viec-lam/chuyen-vien-tu-van-giai-phap-cntt-datastreams-asia-2029783,5 năm,Senior
13,Lập trình C++,"Socket.io,C/C++,API,QT Framework,MFC",https://topdev.vn/viec-lam/lap-trinh-c-cong-ty-tnhh-chau-a-mem-2029895,1 năm,Middle
14,".NET Developer [ASP.NET, MVC, C#, Entity] – (HCM, Dalat)","OOP,ASP.NET,C#,MVC,.NET,Back-End,.NET Core",https://topdev.vn/viec-lam/net-developer-asp-net-mvc-c-entity-hcm-dalat-titan-technology-corporation-2029870,2 năm,"Junior,Middle,Senior"
