STT,MainType,Detail,Detail2,Value,Group
1,Internet,http,Http,4,FrontEnd
2,Internet,dns,Dns,4,FrontEnd
3,Internet,internet,Internet,4,FrontEnd
4,Internet,browsers,Browsers,4,FrontEnd
5,Internet,hosting,Hosting,4,FrontEnd
6,Internet,domain,Domain,4,FrontEnd
7,HTML,seo,Seo,2,FrontEnd
8,HTML,accessibility,Accessibility,2,FrontEnd
9,HTML,html5,Html5,4,FrontEnd
10,HTML,forms-validations,Forms Validations,4,FrontEnd
11,HTML,semantic,Semantic,2,FrontEnd
12,CSS,css,Css,4,FrontEnd
13,CSS,making-layouts,Making Layouts,4,FrontEnd
14,CSS,responsive-web-design,Responsive Web Design,4,FrontEnd
15,JavaScript,javascript,Javascript,4,FrontEnd
16,JavaScript,dom,Dom,4,FrontEnd
17,JavaScript,ajax,Ajax,4,FrontEnd
18,JavaScript,es6+,Es6+,4,FrontEnd
19,JavaScript,fetch-api,Fetch Api,4,FrontEnd
20,UI/UX Tool,azure,Azure,3,FrontEnd
21,UI/UX Tool,figma,Figma,3,FrontEnd
22,Version Control Systems,git,Git,4,FrontEnd
23,Version Control Systems,github,Github,4,FrontEnd
24,Version Control Systems,bitbucket,Bitbucket,3,FrontEnd
25,Version Control Systems,gitlab,Gitlab,3,FrontEnd
26,Basic Web Security Knowledge,https,Https,2,FrontEnd
27,Basic Web Security Knowledge,cors,Cors,2,FrontEnd
28,Basic Web Security Knowledge,content-security-policy,Content Security Policy,2,FrontEnd
29,Basic Web Security Knowledge,owasp-security-risks,Owasp Security Risks,2,FrontEnd
30,Package Managers,npm,Npm,4,FrontEnd
31,Package Managers,yarn,Yarn,2,FrontEnd
32,Package Managers,pnpm,Pnpm,2,FrontEnd
33,CSS Architecture,bem,Bem,2,FrontEnd
34,CSS Preprocessors,sass,Sass,2,FrontEnd
35,CSS Preprocessors,postcss,Postcss,2,FrontEnd
36,Linters formatters,prettier,Prettier,2,FrontEnd
37,Linters formatters,eslint,Eslint,2,FrontEnd
38,Task Runners,npm-script,Npm Script,2,FrontEnd
39,Task Runners,yarn-script,Yarn Script,2,FrontEnd
40,Module Bundlers,vite,Vite,4,FrontEnd
41,Module Bundlers,esbuild,Esbuild,4,FrontEnd
42,Module Bundlers,webpack,Webpack,3,FrontEnd
43,Module Bundlers,rollup,Rollup,3,FrontEnd
44,Module Bundlers,parcel,Parcel,3,FrontEnd
45,Framework,react,React,4,FrontEnd
46,Framework,angular,Angular,3,FrontEnd
47,Framework,vuejs,VueJs,3,FrontEnd
48,Framework,svelte,Svelte,3,FrontEnd
49,Framework,solidjs,SolidJs,3,FrontEnd
50,Modern CSS,styled-components,Styled Components,4,FrontEnd
51,Modern CSS,css-modules,Css Modules,4,FrontEnd
52,Modern CSS,styled-jsx,Styled Jsx,3,FrontEnd
53,Modern CSS,emotion,Emotion,3,FrontEnd
54,CSS frameworks,bootstrap,Bootstrap,4,FrontEnd
55,CSS frameworks,bulma,Bulma,2,FrontEnd
56,CSS frameworks,mantine,Mantine,3,FrontEnd
57,CSS frameworks,tailwind,Tailwind,4,FrontEnd
58,CSS frameworks,charkra-ui,Charkra UI,3,FrontEnd
59,CSS frameworks,material-ui,Material UI,3,FrontEnd
60,CSS frameworks,daisy-ui,Daisy UI,3,FrontEnd
61,CSS frameworks,radix-ui,Radix UI,3,FrontEnd
62,Authentication Strategies,jwt,Jwt,4,FrontEnd
63,Authentication Strategies,oauth,OAuth,3,FrontEnd
64,Authentication Strategies,sso,Sso,3,FrontEnd
65,Web Components,html-templates,Html Templates,2,FrontEnd
66,Web Components,custom-elements,Custom Elements,2,FrontEnd
67,Web Components,shadow-dom,Shadow Dom,2,FrontEnd
68,Type Checkers,typescript,Typescript,4,FrontEnd
