,source,target,value
0,accessibility,android-studio,1.0
1,accessibility,angular,2.0
2,accessibility,c#,1.0
3,accessibility,css,8.0
4,accessibility,flutter,2.0
5,accessibility,heroku,1.0
6,accessibility,javascript,5.0
7,accessibility,kotlin,2.0
8,accessibility,material-ui,1.0
9,accessibility,php,1.0
10,accessibility,python,2.0
11,accessibility,react-native,1.0
12,accessibility,seo,1.0
13,acid,microservices,1.0
14,ajax,angular,1.0
15,ajax,c#,11.0
16,ajax,css,5.0
17,ajax,java,5.0
18,ajax,javascript,137.0
19,ajax,json,13.0
20,ajax,mysql,7.0
21,ajax,php,100.0
22,ajax,python,17.0
23,alchemy,solana,1.0
24,alibaba-cloud,authentication,1.0
25,alibaba-cloud,json,1.0
26,analytics,angular,1.0
27,analytics,api,1.0
28,analytics,google-analytics,8.0
29,analytics,java,1.0
30,analytics,javascript,3.0
31,analytics,postgresql,1.0
32,analytics,python,3.0
33,android-studio,api,2.0
34,android-studio,css,1.0
35,android-studio,firebase,15.0
36,android-studio,flutter,52.0
37,android-studio,git,2.0
38,android-studio,java,102.0
39,android-studio,javascript,2.0
40,android-studio,json,1.0
41,android-studio,linux,1.0
42,android-studio,python,3.0
43,android-studio,react-native,15.0
44,android-studio,ruby,1.0
45,android-studio,sqlite,3.0
46,android-studio,windows,1.0
47,angular,c#,19.0
48,angular,css,102.0
49,angular,java,19.0
50,angular,javascript,325.0
51,angular,json,23.0
52,angular,mysql,1.0
53,angular,php,6.0
54,angular,python,6.0
55,angular-universal,angular,20.0
56,angular-universal,docker,1.0
57,angular-universal,firebase,1.0
58,angular-universal,seo,2.0
59,angular-universal,typescript,1.0
60,angular-universal,webpack,1.0
61,ansible,azure,2.0
62,ansible,azure-devops,2.0
63,ansible,deployment,1.0
64,ansible,docker,5.0
65,ansible,elasticsearch,2.0
66,ansible,git,3.0
67,ansible,java,1.0
68,ansible,jenkins,1.0
69,ansible,json,10.0
70,ansible,kubernetes,3.0
71,ansible,linux,8.0
72,ansible,mysql,1.0
73,ansible,networking,3.0
74,ansible,nginx,1.0
75,ansible,postgresql,2.0
76,ansible,powershell,2.0
77,ansible,python,5.0
78,ansible,security,1.0
79,ansible,ssh,5.0
80,ansible,ubuntu,3.0
81,ansible,variables,2.0
82,ansible,windows,5.0
83,apache,ajax,3.0
84,apache,angular,4.0
85,apache,azure,1.0
86,apache,docker,7.0
87,apache,java,6.0
88,apache,javascript,4.0
89,apache,linux,12.0
90,apache,php,54.0
91,apache,python,9.0
92,apache,ruby,2.0
93,apache,windows,2.0
94,api,ajax,6.0
95,api,angular,20.0
96,api,azure,12.0
97,api,c#,66.0
98,api,css,1.0
99,api,docker,3.0
100,api,firebase,7.0
101,api,flutter,37.0
102,api,git,1.0
103,api,java,52.0
104,api,javascript,118.0
105,api,json,58.0
106,api,linux,2.0
107,api,mongodb,11.0
108,api,multithreading,3.0
109,api,mysql,4.0
110,api,oracle,1.0
111,api,php,66.0
112,api,postgresql,8.0
113,api,powershell,1.0
114,api,python,156.0
115,api,react-native,15.0
116,api,ruby,5.0
117,api,typescript,21.0
118,api,windows,4.0
119,apollo,cors,1.0
120,apollo,docker,1.0
121,apollo,graphql,26.0
122,apollo,javascript,4.0
123,apollo,json,1.0
124,apollo,jwt,1.0
125,apollo,kotlin,4.0
126,apollo,npm,1.0
127,apollo,react-native,1.0
128,apollo,redux,2.0
129,apollo,rest,1.0
130,apollo,typescript,4.0
131,appdynamics,json,1.0
132,appdynamics,python,1.0
133,architecture,angular,1.0
134,architecture,authentication,1.0
135,architecture,azure,1.0
136,architecture,c#,5.0
137,architecture,dart,1.0
138,architecture,design-patterns,4.0
139,architecture,elasticsearch,2.0
140,architecture,firebase,2.0
141,architecture,flutter,1.0
142,architecture,gitlab,1.0
143,architecture,java,1.0
144,architecture,javascript,5.0
145,architecture,mongodb,1.0
146,architecture,python,2.0
147,architecture,rest,2.0
148,architecture,terraform,1.0
149,architecture,testing,1.0
150,architecture,typescript,2.0
151,architecture,unit-testing,1.0
152,architecture,webpack,1.0
153,architecture,windows,1.0
154,argocd,bitbucket,1.0
155,argocd,docker,1.0
156,argocd,github-actions,1.0
157,argocd,kubernetes,9.0
158,astro,css,1.0
159,astro,javascript,8.0
160,astro,json,1.0
161,astro,sass,1.0
162,astro,typescript,2.0
163,astro,vite,3.0
164,async-await,ajax,1.0
165,async-await,angular,3.0
166,async-await,api,3.0
167,async-await,c#,31.0
168,async-await,dart,5.0
169,async-await,design-patterns,1.0
170,async-await,dom,1.0
171,async-await,firebase,3.0
172,async-await,flutter,8.0
173,async-await,go,1.0
174,async-await,http,1.0
175,async-await,javascript,66.0
176,async-await,json,2.0
177,async-await,kotlin,2.0
178,async-await,memory-management,1.0
179,async-await,mongodb,1.0
180,async-await,multithreading,12.0
181,async-await,mysql,2.0
182,async-await,npm,1.0
183,async-await,oop,1.0
184,async-await,php,1.0
185,async-await,python,22.0
186,async-await,react-native,4.0
187,async-await,rust,8.0
188,async-await,sockets,1.0
189,async-await,sqlite,1.0
190,async-await,testing,1.0
191,async-await,typescript,11.0
192,authentication,ajax,1.0
193,authentication,angular,8.0
194,authentication,apache,1.0
195,authentication,api,17.0
196,authentication,azure,10.0
197,authentication,c#,24.0
198,authentication,dart,5.0
199,authentication,docker,3.0
200,authentication,firebase,15.0
201,authentication,flutter,11.0
202,authentication,git,2.0
203,authentication,java,32.0
204,authentication,javascript,36.0
205,authentication,json,2.0
206,authentication,kotlin,5.0
207,authentication,linux,3.0
208,authentication,mongodb,11.0
209,authentication,mysql,9.0
210,authentication,oracle,1.0
211,authentication,php,12.0
212,authentication,postgresql,2.0
213,authentication,python,32.0
214,authentication,react-native,4.0
215,authentication,rest,3.0
216,authentication,ruby,1.0
217,authentication,sqlite,1.0
218,authentication,typescript,8.0
219,authentication,windows,3.0
220,aws-cdk,c#,3.0
221,aws-cdk,deployment,1.0
222,aws-cdk,docker,2.0
223,aws-cdk,github-actions,1.0
224,aws-cdk,go,2.0
225,aws-cdk,java,1.0
226,aws-cdk,javascript,1.0
227,aws-cdk,jenkins,1.0
228,aws-cdk,kotlin,1.0
229,aws-cdk,kubernetes,1.0
230,aws-cdk,monitoring,1.0
231,aws-cdk,npm,1.0
232,aws-cdk,python,10.0
233,aws-cdk,terraform,1.0
234,aws-cdk,testing,1.0
235,aws-cdk,typescript,20.0
236,aws-cdk,windows,1.0
237,azure,angular,11.0
238,azure,c#,99.0
239,azure,firebase,1.0
240,azure,flutter,1.0
241,azure,git,8.0
242,azure,java,24.0
243,azure,javascript,15.0
244,azure,json,9.0
245,azure,linux,2.0
246,azure,mongodb,1.0
247,azure,mysql,5.0
248,azure,oracle,2.0
249,azure,php,9.0
250,azure,postgresql,11.0
251,azure,python,62.0
252,azure,typescript,4.0
253,azure,windows,2.0
254,azure-devops,api,5.0
255,azure-devops,authentication,1.0
256,azure-devops,azure,89.0
257,azure-devops,c#,5.0
258,azure-devops,docker,8.0
259,azure-devops,flutter,1.0
260,azure-devops,git,27.0
261,azure-devops,github,5.0
262,azure-devops,gradle,1.0
263,azure-devops,javascript,1.0
264,azure-devops,jenkins,1.0
265,azure-devops,json,1.0
266,azure-devops,linux,1.0
267,azure-devops,npm,1.0
268,azure-devops,php,2.0
269,azure-devops,postgresql,1.0
270,azure-devops,powershell,9.0
271,azure-devops,python,12.0
272,azure-devops,security,1.0
273,azure-devops,testing,4.0
274,azure-devops,typescript,1.0
275,azure-devops,ubuntu,1.0
276,azure-devops,unit-testing,1.0
277,azure-devops,variables,1.0
278,azure-devops,windows,1.0
279,basic-authentication,angular,1.0
280,basic-authentication,authentication,3.0
281,basic-authentication,c#,1.0
282,basic-authentication,http,1.0
283,basic-authentication,java,3.0
284,basic-authentication,nginx,1.0
285,basic-authentication,oauth,1.0
286,basic-authentication,php,1.0
287,basic-authentication,python,1.0
288,basic-authentication,react-native,1.0
289,basic-authentication,typescript,1.0
290,bcrypt,authentication,1.0
291,bcrypt,cryptography,1.0
292,bcrypt,go,1.0
293,bcrypt,java,1.0
294,bcrypt,javascript,4.0
295,bcrypt,mongodb,2.0
296,bcrypt,mysql,1.0
297,bcrypt,python,1.0
298,bcrypt,rust,1.0
299,bcrypt,security,1.0
300,bdd,javascript,1.0
301,bdd,python,3.0
302,bem,css,1.0
303,binance-smart-chain,ethereum,1.0
304,bitbucket,angular,2.0
305,bitbucket,api,1.0
306,bitbucket,azure-devops,2.0
307,bitbucket,c#,1.0
308,bitbucket,docker,5.0
309,bitbucket,electron,1.0
310,bitbucket,git,23.0
311,bitbucket,github,6.0
312,bitbucket,gitlab,2.0
313,bitbucket,java,2.0
314,bitbucket,jenkins,5.0
315,bitbucket,php,2.0
316,bitbucket,python,4.0
317,bitbucket,rest,1.0
318,bitbucket,ssh,3.0
319,bitbucket,windows,1.0
320,bitrise,pnpm,1.0
321,bitrise,ruby,1.0
322,bloc,api,1.0
323,bloc,async-await,1.0
324,bloc,authentication,1.0
325,bloc,dart,12.0
326,bloc,firebase,5.0
327,bloc,flutter,32.0
328,bloc,rest,1.0
329,blockchain,api,6.0
330,blockchain,c#,1.0
331,blockchain,cryptography,1.0
332,blockchain,docker,1.0
333,blockchain,ethereum,17.0
334,blockchain,go,1.0
335,blockchain,graphql,2.0
336,blockchain,java,1.0
337,blockchain,javascript,8.0
338,blockchain,json,1.0
339,blockchain,php,1.0
340,blockchain,python,6.0
341,blockchain,react-native,2.0
342,blockchain,rest,2.0
343,blockchain,rust,4.0
344,blockchain,security,3.0
345,blockchain,testing,1.0
346,blockchain,transactions,3.0
347,brownie,chainlink,1.0
348,brownie,ethereum,1.0
349,brownie,python,2.0
350,brownie,solidity,2.0
351,brownie,truffle,1.0
352,bulma,css,4.0
353,bulma,javascript,1.0
354,bulma,sass,2.0
355,c#,java,7.0
356,c#,javascript,75.0
357,c#,python,12.0
358,caddy,reverse-proxy,1.0
359,cassandra,dart,1.0
360,cassandra,docker,3.0
361,cassandra,flutter,1.0
362,cassandra,java,10.0
363,cassandra,json,1.0
364,cassandra,kubernetes,1.0
365,cassandra,linux,2.0
366,cassandra,python,2.0
367,cassandra,rest,1.0
368,cassandra,windows,1.0
369,cdn,css,1.0
370,cdn,javascript,5.0
371,cdn,nginx,1.0
372,cdn,npm,2.0
373,cdn,svelte,1.0
374,cdn,typescript,1.0
375,cdn,webpack,1.0
376,chainlink,blockchain,3.0
377,chainlink,docker,1.0
378,chainlink,ethereum,1.0
379,chainlink,json,1.0
380,chainlink,polygon,1.0
381,chainlink,solana,1.0
382,chainlink,solidity,2.0
383,chainlink,truffle,1.0
384,chainlink,web3js,1.0
385,circleci,ansible,1.0
386,circleci,docker,4.0
387,circleci,flutter,1.0
388,circleci,git,1.0
389,circleci,go,1.0
390,circleci,gradle,0.0
391,circleci,integration-testing,1.0
392,circleci,java,2.0
393,circleci,networking,1.0
394,circleci,serverless,1.0
395,circleci,typescript,1.0
396,circuit-breaker,c#,2.0
397,circuit-breaker,istio,1.0
398,circuit-breaker,java,4.0
399,circuit-breaker,kubernetes,1.0
400,circuit-breaker,microservices,1.0
401,code-coverage,angular,2.0
402,code-coverage,azure-devops,2.0
403,code-coverage,c#,1.0
404,code-coverage,components,1.0
405,code-coverage,docker,1.0
406,code-coverage,electron,1.0
407,code-coverage,gitlab,1.0
408,code-coverage,gitlab-ci,1.0
409,code-coverage,go,3.0
410,code-coverage,gradle,1.0
411,code-coverage,javascript,2.0
412,code-coverage,junit,1.0
413,code-coverage,php,1.0
414,code-coverage,python,1.0
415,code-coverage,testing,7.0
416,code-coverage,typescript,2.0
417,code-coverage,unit-testing,4.0
418,codemagic,firebase,1.0
419,codemagic,flutter,6.0
420,collections,api,1.0
421,collections,c#,2.0
422,collections,dom,1.0
423,collections,firebase,1.0
424,collections,github,1.0
425,collections,java,22.0
426,collections,javascript,4.0
427,collections,kotlin,1.0
428,collections,mongodb,5.0
429,collections,python,3.0
430,collections,react-native,1.0
431,collections,redis,1.0
432,collections,variables,2.0
433,components,angular,14.0
434,components,authentication,1.0
435,components,go,1.0
436,components,javascript,10.0
437,components,mongodb,1.0
438,components,php,4.0
439,components,react-native,1.0
440,components,testing,3.0
441,components,typescript,4.0
442,configuration-management,azure,1.0
443,consul,c#,1.0
444,consul,git,1.0
445,consul,java,1.0
446,consul,kubernetes,1.0
447,consul,nginx,1.0
448,consul,reverse-proxy,1.0
449,consul,terraform,1.0
450,content-security-policy,ajax,1.0
451,content-security-policy,angular,1.0
452,content-security-policy,apache,1.0
453,content-security-policy,cors,1.0
454,content-security-policy,electron,1.0
455,content-security-policy,javascript,8.0
456,content-security-policy,nginx,1.0
457,content-security-policy,security,3.0
458,content-security-policy,webpack,4.0
459,cors,ajax,6.0
460,cors,angular,17.0
461,cors,api,20.0
462,cors,azure,4.0
463,cors,c#,7.0
464,cors,dart,1.0
465,cors,deployment,2.0
466,cors,docker,1.0
467,cors,electron,1.0
468,cors,firebase,2.0
469,cors,flutter,3.0
470,cors,go,1.0
471,cors,graphql,3.0
472,cors,heroku,2.0
473,cors,http,8.0
474,cors,https,1.0
475,cors,java,11.0
476,cors,javascript,33.0
477,cors,json,1.0
478,cors,jwt,1.0
479,cors,kotlin,3.0
480,cors,kubernetes,1.0
481,cors,mongodb,2.0
482,cors,networking,1.0
483,cors,nginx,3.0
484,cors,php,10.0
485,cors,postgresql,1.0
486,cors,python,4.0
487,cors,react-native,2.0
488,cors,rest,4.0
489,cors,testing,1.0
490,cors,tomcat,1.0
491,cors,typescript,3.0
492,couchdb,cors,1.0
493,couchdb,javascript,1.0
494,couchdb,python,1.0
495,cqrs,architecture,1.0
496,cqrs,c#,2.0
497,cqrs,dependency-injection,1.0
498,cqrs,domain-driven-design,2.0
499,cqrs,python,1.0
500,cryptography,angular,1.0
501,cryptography,api,2.0
502,cryptography,authentication,1.0
503,cryptography,c#,5.0
504,cryptography,dart,1.0
505,cryptography,electron,2.0
506,cryptography,flutter,1.0
507,cryptography,java,8.0
508,cryptography,javascript,6.0
509,cryptography,jwt,2.0
510,cryptography,kotlin,1.0
511,cryptography,linux,1.0
512,cryptography,networking,1.0
513,cryptography,python,21.0
514,cryptography,react-native,2.0
515,cryptography,rust,3.0
516,cryptography,security,1.0
517,cryptography,sockets,1.0
518,cryptography,typescript,1.0
519,cryptography,windows,2.0
520,csp,angular,1.0
521,csp,content-security-policy,5.0
522,csp,javascript,5.0
523,csp,php,3.0
524,css,c#,6.0
525,css,java,13.0
526,css,javascript,876.0
527,css,php,57.0
528,css,python,34.0
529,css-modules,css,2.0
530,css-modules,gatsby,1.0
531,css-modules,sass,5.0
532,css-modules,typescript,2.0
533,css-modules,webpack,4.0
534,dagger,dependency-injection,4.0
