,JobTitle,Require,Link
8001,Test Leader (Manual),"Tester, Videos Editor, Manual Test",https://topdev.vn/viec-lam/test-leader-manual-bss-group-2026812
8002,Front-end VueJS Developer ~ $1000-$2000,"Front-End, VueJS",https://topdev.vn/viec-lam/front-end-vuejs-developer-1000-2000-tripath-vietnam-co-ltd-2026817
8003,"Full-stack Developer (ReactJS, NodeJS, JavaScript)","JavaScript, NodeJS, Full-Stack, ReactJS",https://topdev.vn/viec-lam/full-stack-developer-reactjs-nodejs-javascript-alomora-j-s-c-2026818
8004,(HÀ NỘI) ĐÀO TẠO JAVA & React MIỄN PHÍ + THỰC TẬP CÓ LƯƠNG!! [KITS 2022],"Java, Front-End, Back-End",https://topdev.vn/viec-lam/ha-noi-dao-tao-java-react-mien-phi-thuc-tap-co-luong-kits-2022-national-it-industry-promotion-agency-hanoi-2026920
8005,[All Levels] UNITY GAME DEVELOPER (Intern/Fresher/ Junior /Senior),"Unity, Game",https://topdev.vn/viec-lam/all-levels-unity-game-developer-intern-fresher-junior-senior-cong-ty-co-phan-bbold-2026922
8006,Bridge System Engineer (Japanese N2),"Front-End, Back-End, Software Developer, BrSE, Japanese",https://topdev.vn/viec-lam/bridge-system-engineer-japanese-n2-shift-asia-2026924
8007,Engineering Consultant,"Front-End, Japanese, AWS, Microsoft, Cloud",https://topdev.vn/viec-lam/engineering-consultant-shift-asia-2026925
8008,Java Back-end Developer,"Java, Git, Software Developer, Agile & Scrum",https://topdev.vn/viec-lam/java-back-end-developer-ngan-hang-tmcp-viet-nam-thinh-vuong-vpbank-2026928
8009,Senior Automation Engineer - Up to 3000+,"Performance Testing, Automation Tester, Mobile, Java, Python",https://topdev.vn/viec-lam/senior-automation-engineer-up-to-3000-line-vietnam-2026930
8010,Senior C# Developer (.NET/OOP/Win/Azure),"OOP, C#, .NET",https://topdev.vn/viec-lam/senior-c-developer-net-oop-win-azure-cong-ty-tnhh-persol-process-technology-viet-nam-2026929
8011,Systems Administrator,System Admin,https://topdev.vn/viec-lam/systems-administrator-shuttlerock-2026931
8012,"IT Comtor (build up to BrSE, PL, PM)","Japanese - N2, Japanese - N1, Japanese ( N1 Or N2), English - Good",https://topdev.vn/viec-lam/it-comtor-build-up-to-brse-pl-pm-shift-asia-2026934
8013,Technical Consultant (Cloud/Azure),"Cloud, Azure, MS SQL, Microsoft Dynamics",https://topdev.vn/viec-lam/technical-consultant-cloud-azure-naviworld-vietnam-2026933
8014,[Remote] JavaScript Game Developer,"HTML5, JavaScript, Game, CSS3, TypeScript, NodeJS, MongoDB, ExpressJS",https://topdev.vn/viec-lam/remote-javascript-game-developer-love-and-coffee-ltd-2026976
8015,Junior/ Senior React Native Developer - Hà Nội (Min 15tr),"JavaScript, REST API, React Native, TypeScript",https://topdev.vn/viec-lam/junior-senior-react-native-developer-ha-noi-min-15tr-ekgis-2026979
8016,"Fresher/Junior Full-stack Developer (ReactJS, NodeJS)","JavaScript, NodeJS, Full-Stack, ReactJS",https://topdev.vn/viec-lam/fresher-junior-full-stack-developer-reactjs-nodejs-antsomi-2026984
8017,HOT .NET Developer - Chuyên viên Cao cấp Phát Triển Giải pháp Phần mềm Công nghệ Số,"ASP.NET, C#, MVC, .NET, .NET Core",https://topdev.vn/viec-lam/net-developer-chuyen-vien-cao-cap-phat-trien-giai-phap-phan-mem-cong-nghe-so-ngan-hang-quoc-te-vib-2027063
8018,HOT (Senior) Operations Product Owner,"Product Owner, Business Analyst",https://topdev.vn/viec-lam/senior-operations-product-owner-hoang-phuc-international-2027096
8019,Systems Operation Support,"Oracle, ERP, SAP, English - Good, System",https://topdev.vn/viec-lam/systems-operation-support-cong-ty-tnhh-lovepop-viet-nam-2027095
8020,HOT Back End Developer (Nodejs),"Oracle, NodeJS, MongoDB, Back-End",https://topdev.vn/viec-lam/back-end-developer-nodejs-ngan-hang-quoc-te-vib-2027094
8021,"HOT Front End Developer (Reactjs, MongoDB)","MongoDB, ReactJS, Front-End",https://topdev.vn/viec-lam/front-end-developer-reactjs-mongodb-ngan-hang-quoc-te-vib-2027093
8022,Junior Python Developers,"Django, Python",https://topdev.vn/viec-lam/junior-python-developers-cong-ty-co-phan-codignify-2027092
8023,Data Engineer,"OOP, MongoDB, Data Engineer, Data Warehouse, PostgreSql",https://topdev.vn/viec-lam/data-engineer-taptap-2027091
8024,HOT ASP.NET / ASP.NET Core Developer,"ASP.NET, MS SQL, PostgreSql, ASP.NET Core, HTML & CSS",https://topdev.vn/viec-lam/asp-net-asp-net-core-developer-qst-technology-2027089
8025,Software Engineer (Java/ JS),"AngularJS, Java, JavaScript, ReactJS, Spring, Full-Stack",https://topdev.vn/viec-lam/software-engineer-java-js-yes4all-trading-services-company-limited-2027088
8026,HOT Java Developer,"Java, Spring",https://topdev.vn/viec-lam/java-developer-green-flash-software-2027087
8027,HOT Technical Manager,"PHP, MySQL, Python, NodeJS, MongoDB, Golang, ReactJS, Agile & Scrum, elasticsearch",https://topdev.vn/viec-lam/technical-manager-datvietvac-group-holdings-2027085
8028,[All Levels] GAME ENGINEER_UNITY,"Unity, Unity3d, Game Developer",https://topdev.vn/viec-lam/all-levels-game-engineer-unity-punch-entertainment-vietnam-2027084
8029,HOT IoT-Developer (m/f/d),IoT Development,https://topdev.vn/viec-lam/iot-developer-m-f-d-zoi-tech-sgn-2027083
8030,HOT Senior Data Engineer (m/f/d),"Python, Data Engineer, R",https://topdev.vn/viec-lam/senior-data-engineer-m-f-d-zoi-tech-sgn-2027082
8031,HOT IT Security Engineer (SecOps) (m/f/d),IT Security,https://topdev.vn/viec-lam/it-security-engineer-secops-m-f-d-zoi-tech-sgn-2027081
8032,IT PROJECT MANAGER,"Project Manager, Business Analyst",https://topdev.vn/viec-lam/it-project-manager-yes4all-trading-services-company-limited-2027143
8033,"HOT KMS Danang | One-day Hiring (Fresher Java, .NET, Tester, Low-code Engineer)","Java, .NET, Tester, QA, QC",https://topdev.vn/viec-lam/kms-danang-one-day-hiring-fresher-java-net-tester-low-code-engineer-kms-technology-2027141
8034,HOT Automation Engineer (Selenium C#),"C#, QA, QC, Automation Tester, Selenium",https://topdev.vn/viec-lam/automation-engineer-selenium-c-orient-software-development-corporation-2027142
8035,HOT UI Designer for PayPense,UI Design,https://topdev.vn/viec-lam/ui-designer-for-paypense-hrs-group-2027140
8036,HOT Senior Java Back-end Developer - Paypense (m/f/d),"Java, Back-End",https://topdev.vn/viec-lam/senior-java-back-end-developer-paypense-m-f-d-hrs-group-2027139
8037,[ĐÀ NẴNG] Senior software Programmer (Java/JavaScript/NodeJS/MySQL),"AngularJS, Oracle, J2EE, Java, JavaScript, MySQL, JQuery, NodeJS, Spring",https://topdev.vn/viec-lam/da-nang-senior-software-programmer-java-javascript-nodejs-mysql-ntt-data-vietnam-2026824
8038,[ĐÀ NẴNG ] Fresher/Junior Software Programmer (Java/.NET/PHP),"PHP, Java, .NET",https://topdev.vn/viec-lam/da-nang-fresher-junior-software-programmer-java-net-php-ntt-data-vietnam-2026820
8039,HOT [ĐÀ NẴNG] Leader Tester/QC/QA,"Lifecycle (sdlc), QC, Tester, QA, Automation Tester, Manual Tester",https://topdev.vn/viec-lam/da-nang-leader-tester-qc-qa-ntt-data-vietnam-2026825
8040,Java Software Programmer,Java,https://topdev.vn/viec-lam/java-software-programmer-ntt-data-vietnam-2026827
8041,"Web Developer (ASP.NET) | Up to $2,000","ASP.NET, C#, .NET, JavaScript, ReactJS",https://topdev.vn/viec-lam/web-developer-asp-net-up-to-2-000-cong-ty-co-phan-cong-nghe-vu-thao-2026921
8042,[HÀ NỘI] Senior System Analyst,System Admin,https://topdev.vn/viec-lam/ha-noi-senior-system-analyst-ntt-data-vietnam-2026828
8043,CHUYÊN VIÊN KIỂM THỬ PHẦN MỀM (TESTER),Tester,https://topdev.vn/viec-lam/chuyen-vien-kiem-thu-phan-mem-tester-cong-ty-co-phan-cong-nghe-vu-thao-2026927
8044,Senior Line Manager,"Software Developer, Angular, JavaScript, ReactJS, Japanese, English",https://topdev.vn/viec-lam/senior-line-manager-shift-asia-2026926
8045,Mobile Developer (Java/Kotlin/Swift/Objective C),"Swift, Android, iOS, Java, Objective-C, Mobile, Kotlin",https://topdev.vn/viec-lam/mobile-developer-java-kotlin-swift-objective-c-cong-ty-cp-cq-tdt-asia-2026923
8046,Dynamics 365|AX Developer,"C++, SQL, .NET, Microsoft Dynamics AX, Microsoft Dynamics 365",https://topdev.vn/viec-lam/dynamics-365-ax-developer-naviworld-vietnam-2026932
8047,Full Stack .NET Engineer,"C#/ Oop/ Net Framwork, API, React/Typescript, ASP.NET, .NET",https://topdev.vn/viec-lam/full-stack-net-engineer-cong-ty-co-phan-torus-engineering-2026935
8048,"Developer (Flutter, .NET Core, ReactJS)","REST API, Front-End, Back-End, ReactJS, .NET Core, Flutter, ASP.NET Core, Mobile",https://topdev.vn/viec-lam/developer-flutter-net-core-reactjs-cong-ty-co-phan-the-gioi-di-dong-2026936
8049,Project Manager/Business Analyst (English),"Project Manager, Business Analyst",https://topdev.vn/viec-lam/project-manager-business-analyst-english-brickmate-group-2026937
8050,"Tester (QA/ QC) - Up to $1,200","UI/UX, QA, QC, Tester, Mobile, Manual Test",https://topdev.vn/viec-lam/tester-qa-qc-up-to-1-200-seal-commerce-2026938
8051,DevOps Engineer,"Linux, Redis, MariaDB, Docker, Unix, Ansible, Kafka",https://topdev.vn/viec-lam/devops-engineer-cong-ty-tnhh-groot-2026939
8052,Back-end Engineer (Golang/ Python/ NodeJS/ Java/ PHP/ .NET),"Java, PHP, Python, NodeJS, .NET, Golang, Back-End",https://topdev.vn/viec-lam/back-end-engineer-golang-python-nodejs-java-php-net-ahamove-2026942
8053,Team leader PHP Developer từ 35M ~ 40M,"PHP, CSS, JavaScript, C#, MySQL, NodeJS",https://topdev.vn/viec-lam/team-leader-php-developer-tu-35m-40m-fibo-2026941
8054,Scrum Master,"Scrum, Agile & Scrum, Scrum Master",https://topdev.vn/viec-lam/scrum-master-yody-fashion-2026943
8055,"[Junior or Senior] IT Developer (C,C++,pro-c,iOS)","iOS, Oracle, C++, Mobile, Web, Database",https://topdev.vn/viec-lam/junior-or-senior-it-developer-c-c-pro-c-ios-shinhan-securities-2026945
8056,Lập Trình Viên PHP,"PHP, JavaScript",https://topdev.vn/viec-lam/lap-trinh-vien-php-south-telecom-2026944
8057,[ALL LEVELS] JAVA DEVELOPER,"Java, JavaScript, Spring",https://topdev.vn/viec-lam/all-levels-java-developer-cyberlogitec-vietnam-co-ltd-2026978
8058,"Front-end Engineer (JavaScript, HTML, CSS)","CSS, JavaScript, HTML, Front-End",https://topdev.vn/viec-lam/front-end-engineer-javascript-html-css-cho-tot-2026981
8059,[HN] Software Engineer (Fresher/Junior),"HTML5, MySQL, JSON, CSS3, REST API, JavaScript, JQuery, Ajax",https://topdev.vn/viec-lam/hn-software-engineer-fresher-junior-cong-ty-co-phan-base-enterprise-2026946
8060,Back-end Engineer (Golang),"Golang, Back-End",https://topdev.vn/viec-lam/back-end-engineer-golang-cho-tot-2026982
8061,Back-end Developer (NodeJS/C++/JavaScript),"C++, JavaScript, NodeJS, Back-End",https://topdev.vn/viec-lam/back-end-developer-nodejs-c-javascript-metacoders-2027104
8062,HOT Fresher/Junior QA/QC Engineer (Tester),"QA, QC, Tester",https://topdev.vn/viec-lam/fresher-junior-qa-qc-engineer-tester-money-forward-vietnam-2027103
8063,Front-end Developer (ReactJS/NextJS/TypeScript),"CSS, HTML, ReactJS, TypeScript, NextJS",https://topdev.vn/viec-lam/front-end-developer-reactjs-nextjs-typescript-metacoders-2027105
8064,IT PROGRAMMER (HCMC Office),"Java, .NET",https://topdev.vn/viec-lam/it-programmer-hcmc-office-ntt-data-vietnam-2026432
8065,JAVA TEAM LEADER (HCMC Office),"Java, Back-End, Videos Editor, Front-End",https://topdev.vn/viec-lam/java-team-leader-hcmc-office-ntt-data-vietnam-2026433
8066,Technical Leader/ Trưởng nhóm kỹ thuật ~ Signing bonus applied for candidate receiving offer for working in HCMC,"Magento, Oracle, J2EE, MS SQL, NoSQL, React Native, Japanese, English, PostgreSql",https://topdev.vn/viec-lam/technical-leader-truong-nhom-ky-thuat-signing-bonus-applied-for-candidate-receiving-offer-for-working-in-hcmc-ntt-data-vietnam-2026420
8067,AZURE DATA ENGINEER (HCMC Office),"Azure, Data Engineer",https://topdev.vn/viec-lam/azure-data-engineer-hcmc-office-ntt-data-vietnam-2026434
8068,[Remote - Fulltime] Full-Stack Developer (PHP/Ruby),"PHP, Laravel, Symfony, Full-Stack, CodeIgniter, JavaScript, Ruby on Rails, VueJS",https://topdev.vn/viec-lam/remote-fulltime-full-stack-developer-php-ruby-neolab-viet-nam-da-nang-2026516
