,JobTitle,Require,Link
1501,"Development Team Leader (Senior Only) (Oracle, MySQL, C/C++)","SQL, Database, C/C++, Videos Editor",https://topdev.vn/viec-lam/development-team-leader-senior-only-oracle-mysql-c-c-shinhan-securities-2026737
1502,QA/QC (Junior),"QA, QC, Tester",https://topdev.vn/viec-lam/qa-qc-junior-shinhan-securities-2026739
1503,Business Analyst,"Business Analyst, System, Commucation",https://topdev.vn/viec-lam/business-analyst-itd-group-2026743
1504,Back-end Developer (PHP/Laravel),"PHP, OOP, MVC, Laravel, Back-End, JavaScript",https://topdev.vn/viec-lam/back-end-developer-php-laravel-gems-tech-2026744
1505,Data Engineer (Python/Golang/Ruby)~$3000,"Python, Data Engineer, Golang, Ruby",https://topdev.vn/viec-lam/data-engineer-python-golang-ruby-3000-seal-commerce-2026746
1506,"Junior/Experience .NET Developer (C#, MVC)","ASP.NET, C#, .NET, JavaScript",https://topdev.vn/viec-lam/junior-experience-net-developer-c-mvc-ekino-vietnam-2026741
1507,Back-end Developer (Java/.NET/SQL),"Java, SQL, .NET, Back-End",https://topdev.vn/viec-lam/back-end-developer-java-net-sql-fe-credit-2026747
1508,"Java Developer (Angular, TypeScript)","Java, Full-Stack, Angular, TypeScript",https://topdev.vn/viec-lam/java-developer-angular-typescript-fpt-software-2026808
1509,[Remote/Fulltime] Senior Web Developer (NodeJS/ReactJS),"ReactJS, Web, Laravel, NodeJS, LiveCode",https://topdev.vn/viec-lam/remote-fulltime-senior-web-developer-nodejs-reactjs-faba-technology-2026750
1510,"HOT Senior C/C++ Engineer, Windows App","C++, Windows",https://topdev.vn/viec-lam/senior-c-c-engineer-windows-app-naver-vietnam-2027132
1511,HOT .Net C# Engineer (Window Desktop App),"C#, .NET, .NET Core",https://topdev.vn/viec-lam/net-c-engineer-window-desktop-app-naver-vietnam-2027133
1512,HOT Senior Back-end Engineer (Java),"Java, Back-End, Spring",https://topdev.vn/viec-lam/senior-back-end-engineer-java-naver-vietnam-2027131
1513,HOT Senior macOS Engineer (Objective-C/Swift),"Swift, iOS, Objective-C, MacOS",https://topdev.vn/viec-lam/senior-macos-engineer-objective-c-swift-naver-vietnam-2027134
1514,HOT Senior Frontend Engineer (ReactJS/VueJS),"CSS, JavaScript, HTML, Front-End, ReactJS, VueJS",https://topdev.vn/viec-lam/senior-frontend-engineer-reactjs-vuejs-naver-vietnam-2027130
1515,HOT Senior UI Frontend Engineer (HTML/CSS),"CSS, HTML, UI Design, Front-End, JavaScript",https://topdev.vn/viec-lam/senior-ui-frontend-engineer-html-css-naver-vietnam-2027135
1516,HOT 9 Senior PHP Developers (Laravel/ MySQL),"PHP, JavaScript, CSS, HTML",https://topdev.vn/viec-lam/9-senior-php-developers-laravel-mysql-rivercrane-vietnam-2027127
1517,"[Junior] Kỹ Sư Phần Mềm (Java, NodeJS)","Java, MySQL, NodeJS, REST API",https://topdev.vn/viec-lam/junior-ky-su-phan-mem-java-nodejs-cong-ty-co-phan-phat-hanh-sach-tp-ho-chi-minh-fahasa-2027138
1518,Technical Trainer,"Java, Unity, C++",https://topdev.vn/viec-lam/technical-trainer-gameloft-vietnam-2027137
1519,HOT QA Engineer (m/f/d)_Payment Solutions,"Java, Python, QA, Objective-C, Automation Tester",https://topdev.vn/viec-lam/qa-engineer-m-f-d-payment-solutions-hrs-group-2027136
1520,"Fresher/Junior/Senior Embedded Software (C Language, C++) ~ $2500","C++, C#, Firmware, Embedded System",https://topdev.vn/viec-lam/fresher-junior-senior-embedded-software-c-language-c-2500-selex-motors-2027129
1521,Senior Java Developer,Java,https://topdev.vn/viec-lam/senior-java-developer-xperc-2027128
1522,HOT DevOps Engineer,"Linux, AWS, CI/CD, DevOps",https://topdev.vn/viec-lam/devops-engineer-cong-ty-cp-duoc-pham-pharmacity-2027123
1523,Mobile App Developer (iOS: Swift/Objective C),"Swift, iOS, Objective-C, Mobile",https://topdev.vn/viec-lam/mobile-app-developer-ios-swift-objective-c-voip24h-2027126
1524,LẬP TRÌNH VIÊN PHP (Laravel),"PHP, Laravel, Front-End",https://topdev.vn/viec-lam/lap-trinh-vien-php-laravel-omt-2027125
1525,C# .Net/Python Developer,"C#, Python, .NET",https://topdev.vn/viec-lam/c-net-python-developer-cong-ty-tnhh-thi-giac-meta-2027124
1526,"Fullstack Web Dev (NodeJS, VueJS)","CSS, NodeJS, HTML, MongoDB, Full-Stack, VueJS",https://topdev.vn/viec-lam/fullstack-web-dev-nodejs-vuejs-cong-ty-tnhh-thi-giac-meta-2027122
1527,Fresher/ Junior Java Developer,"Java, JavaScript",https://topdev.vn/viec-lam/fresher-junior-java-developer-cathay-life-2027121
1528,BACKEND DEVELOPER ( JUNIOR - SENIOR ),"Java, Python, Back-End, Golang, NodeJS",https://topdev.vn/viec-lam/backend-developer-junior-senior-minerva-technology-solutions-jsc-2026492
